"","mz","intensity","RT","peak ID","HS IDs","series level","to ID","m/z increment","RT increment","HS cluster"
"59",161.044449356,999,6.72990909090909,59,"0","0","0","none","none","0"
"60",183.026393356,999,6.72990909090909,60,"0","0","0","none","none","0"
"61",187.000215194,999,1.75406222222222,61,"0","0","0","none","none","0"
"62",208.982159194,999,1.75406222222222,62,"0","0","0","none","none","0"
"63",187.000215194,999,1.75406222222222,63,"0","0","0","none","none","0"
"64",208.982159194,999,1.75406222222222,64,"0","0","0","none","none","0"
"65",156.98965051,999,3.13144545454545,65,"0","0","0","none","none","0"
"66",178.97159451,999,3.13144545454545,66,"0","0","0","none","none","0"
"67",169.049534736,999,7.271,67,"0","0","0","none","none","0"
"68",191.031478736,999,7.271,68,"0","0","0","none","none","0"
"69",171.0651848,999,6.818,69,"0","0","0","none","none","0"
"70",193.0471288,999,6.818,70,"0","0","0","none","none","0"
"71",171.0651848,999,6.818,71,"0","0","0","none","none","0"
"72",193.0471288,999,6.818,72,"0","0","0","none","none","0"
"73",153.054620116,999,8.83966363636364,73,"0","0","0","none","none","0"
"74",175.036564116,999,8.83966363636364,74,"0","0","0","none","none","0"
"75",169.049534736,999,8.19307333333333,75,"0","0","0","none","none","0"
"76",191.031478736,999,8.19307333333333,76,"0","0","0","none","none","0"
"77",198.076083832,999,1.99533181818182,77,"0","0","0","none","none","0"
"78",220.058027832,999,1.99533181818182,78,"17/19","3/3","0","25.0078/25.0078","0.3222/0.3222","17/19"
"79",198.076083832,999,1.99533181818182,79,"0","0","0","none","none","0"
"80",220.058027832,999,1.99533181818182,80,"18/20","3/3","0","25.0078/25.0078","0.3222/0.3222","18/20"
"81",183.0651848,999,7.10990909090909,81,"0","0","0","none","none","0"
"82",205.0471288,999,7.10990909090909,82,"0","0","0","none","none","0"
"83",183.0651848,999,7.10990909090909,83,"0","0","0","none","none","0"
"84",205.0471288,999,7.10990909090909,84,"0","0","0","none","none","0"
"85",181.049534736,999,7.516375,85,"0","0","0","none","none","0"
"86",203.031478736,999,7.516375,86,"0","0","0","none","none","0"
